,name,DepositsAndShort-termFinancing,CAR,InterestIncome,NIM
324,SURGUTNEFTEGASBANK JSC 2020,1375373.0,19.24,164375.0,3.95
326,EXIMBANK OF RUSSIA ZAO 2017,1055664.0,30.1,107012.0,4.46
327,METALLINVESTBANK 2019,1252446.0,12.9,134077.0,4.47
328,CB RENAISSANCE CREDIT OOO 2015,1202608.0,23.2,277538.0,7.01
329,ASIAN-PACIFIC BANK (JOINT STOCK COMPANY) 2019,1274101.0,10.47,163786.0,7.51
331,BANK SOYUZ 2014,986608.0,17.7,151906.0,4.34
332,BBR BANK CLOSED JOINT STOCK COMPANY 2020,1337678.0,11.0,89870.0,4.24
334,RUSSIAN NATIONAL COMMERCIAL BANK - RNCB OAO 2016,1132285.0,47.62,121406.0,11.16
335,METALLINVESTBANK 2014,1270203.0,14.2,103737.0,3.37
336,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2017,1187093.0,20.4,163954.0,6.64
337,DEUTSCHE BANK LLC 2020,1203797.0,30.65,38915.0,1.88
339,DEUTSCHE BANK LLC 2015,1149116.0,12.9,38407.0,0.81
341,COMMERCIAL BANK 'INTERCOMMERZ' LIMITED 2013,1262729.0,13.6,159955.0,6.35
342,METALLINVESTBANK 2018,1135478.0,12.2,115421.0,4.84
343,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2014,1212897.0,17.4,160041.0,6.07
344,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2015,1191322.0,20.3,158377.0,4.66
345,HSBC BANK (RR) LLC 2017,972935.0,21.1,69588.0,3.12
346,CENTROCREDIT BANK ZAO 2015,859648.0,26.7,103719.0,4.38
348,BANK SOYUZ 2018,1102941.0,11.01,123822.0,5.67
349,BANK SOYUZ 2017,1052045.0,14.44,142743.0,4.83
350,COMMERCIAL BANK 'INTERCOMMERZ' LIMITED 2014,1211197.0,11.2,128220.0,6.17
351,CLOSED JOINT STOCK COMPANY LOCKO-BANK 2016,1076286.0,19.5,179554.0,5.53
353,MIR BUSINESS BANK ZAO 2018,1165752.0,21.6,19546.0,3.01
355,METALLINVESTBANK 2017,1052192.0,13.5,120384.0,4.95
